Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
513,Broadcasting and telecommunications,methane,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,1,1
513,Broadcasting and telecommunications,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
513,Broadcasting and telecommunications,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,4,3,1,4,1
514,"Data processing, internet publishing, and other information services",carbon dioxide,"kg/2018 USD, purchaser price",0.111,0,0.111,,3,3,1,3,1
514,"Data processing, internet publishing, and other information services",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
514,"Data processing, internet publishing, and other information services",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
514,"Data processing, internet publishing, and other information services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.091,0,0.091,,3,3,1,3,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
521CI,"Federal Reserve banks, credit intermediation, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,4,1
523,"Securities, commodity contracts, and investments",carbon dioxide,"kg/2018 USD, purchaser price",0.136,0,0.136,,3,3,1,3,1
523,"Securities, commodity contracts, and investments",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
523,"Securities, commodity contracts, and investments",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
523,"Securities, commodity contracts, and investments",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,4,1
524,Insurance carriers and related activities,carbon dioxide,"kg/2018 USD, purchaser price",0.059,0,0.059,,3,3,1,3,1
524,Insurance carriers and related activities,methane,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,1,1
524,Insurance carriers and related activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
524,Insurance carriers and related activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,4,1
525,"Funds, trusts, and other financial vehicles",carbon dioxide,"kg/2018 USD, purchaser price",0.259,0,0.259,,3,3,1,3,1
525,"Funds, trusts, and other financial vehicles",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
525,"Funds, trusts, and other financial vehicles",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
525,"Funds, trusts, and other financial vehicles",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,3,1
532RL,Rental and leasing services and lessors of intangible assets,carbon dioxide,"kg/2018 USD, purchaser price",0.14,0,0.14,,3,3,1,3,1
532RL,Rental and leasing services and lessors of intangible assets,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
532RL,Rental and leasing services and lessors of intangible assets,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
532RL,Rental and leasing services and lessors of intangible assets,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,3,1,4,1
5411,Legal services,carbon dioxide,"kg/2018 USD, purchaser price",0.071,0,0.071,,3,3,1,3,1
5411,Legal services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,1,1
5411,Legal services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
5411,Legal services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,4,1
5412OP,"Miscellaneous professional, scientific, and technical services",carbon dioxide,"kg/2018 USD, purchaser price",0.139,0,0.139,,3,3,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
5412OP,"Miscellaneous professional, scientific, and technical services",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
5412OP,"Miscellaneous professional, scientific, and technical services",other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,3,1
5415,Computer systems design and related services,carbon dioxide,"kg/2018 USD, purchaser price",0.094,0,0.094,,3,3,1,3,1
5415,Computer systems design and related services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
5415,Computer systems design and related services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
5415,Computer systems design and related services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
55,Management of companies and enterprises,carbon dioxide,"kg/2018 USD, purchaser price",0.143,0,0.143,,3,3,1,3,1
55,Management of companies and enterprises,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
55,Management of companies and enterprises,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
55,Management of companies and enterprises,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,3,1
561,Administrative and support services,carbon dioxide,"kg/2018 USD, purchaser price",0.104,0,0.104,,3,3,1,3,1
561,Administrative and support services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
561,Administrative and support services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
561,Administrative and support services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
562,Waste management and remediation services,carbon dioxide,"kg/2018 USD, purchaser price",0.329,0,0.329,,2,3,1,2,1
562,Waste management and remediation services,methane,"kg/2018 USD, purchaser price",0.054,0,0.054,,2,3,1,1,1
562,Waste management and remediation services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,1,1
562,Waste management and remediation services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,4,3,1,4,1
61,Educational services,carbon dioxide,"kg/2018 USD, purchaser price",0.228,0,0.228,,3,3,1,3,1
61,Educational services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
61,Educational services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
61,Educational services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,4,1
621,Ambulatory health care services,carbon dioxide,"kg/2018 USD, purchaser price",0.115,0,0.115,,3,3,1,3,1
621,Ambulatory health care services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
621,Ambulatory health care services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
621,Ambulatory health care services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,3,1
622,Hospitals,carbon dioxide,"kg/2018 USD, purchaser price",0.179,0,0.179,,3,3,1,3,1
622,Hospitals,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
622,Hospitals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
622,Hospitals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,4,1
623,Nursing and residential care facilities,carbon dioxide,"kg/2018 USD, purchaser price",0.176,0,0.176,,3,3,1,3,1
623,Nursing and residential care facilities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
623,Nursing and residential care facilities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
623,Nursing and residential care facilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,4,1
